BA section,BA sub-section,BA UI field,dev-int card,Status,Matched label
Compensation Information (ค่าตอบแทน),Alternative cost centre,cost centre,Compensation,FOUND,cost centre
Compensation Information (ค่าตอบแทน),Alternative cost centre,Allocation %,Compensation,FOUND,Allocation %
Compensation Information (ค่าตอบแทน),Payment Information,Bank Code,Compensation,FOUND,Bank Code
Compensation Information (ค่าตอบแทน),Payment Information,Bank,Compensation,FOUND,Bank
Compensation Information (ค่าตอบแทน),Payment Information,Account Number,Compensation,FOUND,Account Number
Compensation Information (ค่าตอบแทน),Payment Information,Bank Country/Region,Compensation,FOUND,Bank Country/Region
Compensation Information (ค่าตอบแทน),Payment Information,Currency,Compensation,FOUND,Currency
Compensation Information (ค่าตอบแทน),Payment Information,Payment Method,Compensation,FOUND,Payment Method
Compensation Information (ค่าตอบแทน),Payment Information,Attachment,Compensation,FOUND,Attachment
Compensation Information (ค่าตอบแทน),,Payroll ID,Compensation,FOUND,Payroll ID
Compensation Information (ค่าตอบแทน),,Pay Type,Compensation,FOUND,Pay Type
Compensation Information (ค่าตอบแทน),,Pay Component,Compensation,FOUND,Pay Component
Compensation Information (ค่าตอบแทน),,Frequency,Compensation,FOUND,Frequency
Compensation Information (ค่าตอบแทน),,Amount,Compensation,FOUND,Amount
Compensation Information (ค่าตอบแทน),,Currency,Compensation,FOUND,Currency
Compensation Information (ค่าตอบแทน),,pay group,Compensation,FOUND,pay group
Contact (ข้อมูลติดต่อ),Home Address,Address Type,Contact information,FOUND,Address Type
Contact (ข้อมูลติดต่อ),Home Address,Floor,Contact information,FOUND,Floor
Contact (ข้อมูลติดต่อ),Home Address,Room No.,Contact information,FOUND,Room No.
Contact (ข้อมูลติดต่อ),Home Address,Village,Contact information,FOUND,Village
Contact (ข้อมูลติดต่อ),Home Address,House Number,Contact information,FOUND,House Number
Contact (ข้อมูลติดต่อ),Home Address,Building,Contact information,FOUND,Building
Contact (ข้อมูลติดต่อ),Home Address,Street,Contact information,FOUND,Street
Contact (ข้อมูลติดต่อ),Home Address,Moo,Contact information,FOUND,Moo
Contact (ข้อมูลติดต่อ),Home Address,Lane / Soi,Contact information,FOUND,Lane / Soi
Contact (ข้อมูลติดต่อ),Home Address,District,Contact information,FOUND,District
Contact (ข้อมูลติดต่อ),Home Address,Sub-District,Contact information,FOUND,Sub-District
Contact (ข้อมูลติดต่อ),Home Address,Province,Contact information,FOUND,Province
Contact (ข้อมูลติดต่อ),Home Address,Postal Code,Contact information,FOUND,Postal Code
Contact (ข้อมูลติดต่อ),Home Address,Country,Contact information,FOUND,Country
Contact (ข้อมูลติดต่อ),Home Address,Attachment,Contact information,FOUND,Attachment
Contact (ข้อมูลติดต่อ),Email Information,Email Type,Contact information,FOUND,Email Type
Contact (ข้อมูลติดต่อ),Email Information,Email Address,Contact information,FOUND,Email Address
Contact (ข้อมูลติดต่อ),Email Information,Is Primary,Contact information,PARTIAL,"rendered as a ""Primary"" badge on the phone/email row"
Contact (ข้อมูลติดต่อ),Phone Information,Phone Type,Contact information,FOUND,Phone Type
Contact (ข้อมูลติดต่อ),Phone Information,Country Code,Contact information,MISSING,
Contact (ข้อมูลติดต่อ),Phone Information,Phone Number,Contact information,FOUND,Phone Number
Contact (ข้อมูลติดต่อ),Phone Information,Extension,Contact information,MISSING,
Contact (ข้อมูลติดต่อ),Phone Information,Is Primary,Contact information,PARTIAL,"rendered as a ""Primary"" badge on the phone/email row"
Contact (ข้อมูลติดต่อ),Social Accounts Information,Domain,Contact information,FOUND,Domain
Contact (ข้อมูลติดต่อ),Social Accounts Information,Instant Messaging ID,Contact information,FOUND,Instant Messaging ID
Contact (ข้อมูลติดต่อ),Social Accounts Information,URL,Contact information,PARTIAL,"social handle is a hyperlink; the URL is its href, not a field"
Dependents (บุคคลในอุปการะ),,Relationship,Dependents,FOUND,Relationship
Dependents (บุคคลในอุปการะ),,Salutation (EN),Dependents,FOUND,Salutation (EN)
Dependents (บุคคลในอุปการะ),,Phone,Dependents,MISSING,
Dependents (บุคคลในอุปการะ),,Firstname (EN),Dependents,FOUND,Firstname (EN)
Dependents (บุคคลในอุปการะ),,Lastname (EN),Dependents,FOUND,Lastname (EN)
Dependents (บุคคลในอุปการะ),,Salutation (Local),Dependents,FOUND,Salutation (Local)
Dependents (บุคคลในอุปการะ),,Firstname (Local),Dependents,FOUND,Firstname (Local)
Dependents (บุคคลในอุปการะ),,Lastname (Local),Dependents,FOUND,Lastname (Local)
Dependents (บุคคลในอุปการะ),,Nationality,Dependents,FOUND,Nationality
Dependents (บุคคลในอุปการะ),,Date of Birth,Dependents,FOUND,Date of Birth
Dependents (บุคคลในอุปการะ),Dependent national ID,Country,Dependents,FOUND,Country
Dependents (บุคคลในอุปการะ),Dependent national ID,National ID Card Type,Dependents,FOUND,National ID Card Type
Dependents (บุคคลในอุปการะ),Dependent national ID,National ID / Tax ID,Dependents,FOUND,National ID / Tax ID
Dependents (บุคคลในอุปการะ),,Primary,Dependents,MISSING,
Dependents (บุคคลในอุปการะ),,Attachment,Dependents,FOUND,Attachment
Dependents (บุคคลในอุปการะ),Dependent contact address,Copy Address from Employee,Dependents,MISSING,
Dependents (บุคคลในอุปการะ),Dependent contact address,House Number,Dependents,FOUND,House Number
Dependents (บุคคลในอุปการะ),Dependent contact address,Building,Dependents,FOUND,Building
Dependents (บุคคลในอุปการะ),Dependent contact address,Floor,Dependents,FOUND,Floor
Dependents (บุคคลในอุปการะ),Dependent contact address,Village,Dependents,FOUND,Village
Dependents (บุคคลในอุปการะ),Dependent contact address,Moo,Dependents,FOUND,Moo
Dependents (บุคคลในอุปการะ),Dependent contact address,Lane / Soi,Dependents,FOUND,Lane / Soi
Dependents (บุคคลในอุปการะ),Dependent contact address,Street,Dependents,FOUND,Street
Dependents (บุคคลในอุปการะ),Dependent contact address,Province,Dependents,FOUND,Province
Dependents (บุคคลในอุปการะ),Dependent contact address,District,Dependents,FOUND,District
Dependents (บุคคลในอุปการะ),Dependent contact address,Sub-District,Dependents,FOUND,Sub-District
Dependents (บุคคลในอุปการะ),Dependent contact address,Postal Code,Dependents,FOUND,Postal Code
Employment Details (ข้อมูลการจ้างงาน),,CG previous Employee ID,Employment information,FOUND,CG previous Employee ID
Employment Details (ข้อมูลการจ้างงาน),,Hire Date,Employment information,FOUND,Hire Date
Employment Details (ข้อมูลการจ้างงาน),,Retire­ment Date,Employment information,FOUND,Retire­ment Date
Employment Details (ข้อมูลการจ้างงาน),,Original Start Date,Employment information,FOUND,Original Start Date
Employment Details (ข้อมูลการจ้างงาน),,Seniority Start Date,Employment information,FOUND,Seniority Start Date
Employment Details (ข้อมูลการจ้างงาน),,DVT previous ID,Employment information,FOUND,DVT previous ID
Employment Details (ข้อมูลการจ้างงาน),,PF service Date,Employment information,FOUND,PF service Date
Employment Details (ข้อมูลการจ้างงาน),,Employee age (Y/M/D),Employment information,FOUND,Employee age (Y/M/D)
Formal Education (การศึกษา),Formal Education,Degree,Education,FOUND,Degree
Formal Education (การศึกษา),Formal Education,Country,Education,FOUND,Country
Formal Education (การศึกษา),Formal Education,University,Education,FOUND,University
Formal Education (การศึกษา),Formal Education,Others,Education,FOUND,Others
Formal Education (การศึกษา),Formal Education,Faculty,Education,FOUND,Faculty
Formal Education (การศึกษา),Formal Education,Major,Education,FOUND,Major
Formal Education (การศึกษา),Formal Education,Other Major,Education,FOUND,Other Major
Formal Education (การศึกษา),Formal Education,GPA,Education,FOUND,GPA
Formal Education (การศึกษา),Formal Education,Graduated Date,Education,FOUND,Graduated Date
Formal Education (การศึกษา),Formal Education,Attachment,Education,FOUND,Attachment
Formal Education (การศึกษา),Formal Education,Is primary,Education,PARTIAL,"rendered as a ""Primary"" badge on Education #1"
Global Information (ข้อมูลทั่วไป),Global Information (ข้อมูลทั่วไป),Country/Region,General information,FOUND,Country/Region
Global Information (ข้อมูลทั่วไป),Global Information (ข้อมูลทั่วไป),Attachment,General information,FOUND,Attachment
Global Information (ข้อมูลทั่วไป),,Number of children,General information,FOUND,Number of children
Global Information (ข้อมูลทั่วไป),,Religion,General information,MISSING,
Global Information (ข้อมูลทั่วไป),,Disability Status,General information,FOUND,Disability Status
Global Information (ข้อมูลทั่วไป),,Disability Certificate Start Date,General information,FOUND,Disability Certificate Start Date
Global Information (ข้อมูลทั่วไป),,Disability Certificate End Date,General information,FOUND,Disability Certificate End Date
Global Information (ข้อมูลทั่วไป),,Type of Disability,General information,FOUND,Type of Disability
Global Information (ข้อมูลทั่วไป),,Certificate ID,General information,FOUND,Certificate ID
Global Information (ข้อมูลทั่วไป),,Spouse's Father ID Number,General information,FOUND,Spouse's Father ID Number
Global Information (ข้อมูลทั่วไป),,Spouse's Mother ID Number,General information,FOUND,Spouse's Mother ID Number
Global Information (ข้อมูลทั่วไป),,Additional Information,General information,FOUND,Additional Information
Global Information (ข้อมูลทั่วไป),,Number of Children,General information,FOUND,Number of Children
Identity (ข้อมูลระบุตัวตน),Identity,Hire Date,Identity information,FOUND,Hire Date
Identity (ข้อมูลระบุตัวตน),Identity,Company,Identity information,FOUND,Company
Identity (ข้อมูลระบุตัวตน),Identity,Event reason,Identity information,MISSING,
Identity (ข้อมูลระบุตัวตน),Identity,Date of Birth,Identity information,FOUND,Date of Birth
Identity (ข้อมูลระบุตัวตน),Identity,Country of Birth,Identity information,FOUND,Country of Birth
Identity (ข้อมูลระบุตัวตน),Identity,Region of Birth,Identity information,FOUND,Region of Birth
Identity (ข้อมูลระบุตัวตน),Identity,Age,Identity information,FOUND,Age
Identity (ข้อมูลระบุตัวตน),Identity,Employee ID,Identity information,PARTIAL,"shown in the page header as ""EMP-0002 · EJ: EJ-0002"""
Identity (ข้อมูลระบุตัวตน),Identity,Replaced Employee ID,Identity information,MISSING,
Identity (ข้อมูลระบุตัวตน),Identity,Salutation (EN),Identity information,FOUND,Salutation (EN)
Identity (ข้อมูลระบุตัวตน),Identity,Firstname (EN),Identity information,FOUND,Firstname (EN)
Identity (ข้อมูลระบุตัวตน),Identity,Middle Name (EN),Identity information,FOUND,Middle Name (EN)
Identity (ข้อมูลระบุตัวตน),Identity,Lastname (EN),Identity information,FOUND,Lastname (EN)
Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,National ID/Tax-ID,Identity information,FOUND,National ID/Tax-ID
Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Issue Date,Identity information,FOUND,Issue Date
Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Expiry Date,Identity information,FOUND,Expiry Date
Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Attachment,Identity information,FOUND,Attachment
Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Country,Identity information,FOUND,Country
Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Issue Date,Identity information,FOUND,Issue Date
Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Expiry Date,Identity information,FOUND,Expiry Date
Identity (ข้อมูลระบุตัวตน),National ID / Tax ID,Is Primary,Identity information,FOUND,Is Primary
Job Information (ข้อมูลงาน),Job Information,Probation Exemption,Job information,MISSING,
Job Information (ข้อมูลงาน),Job Information,Band,Job information,FOUND,Band
Job Information (ข้อมูลงาน),Job Information,Corporate Title,Job information,FOUND,Corporate Title
Job Information (ข้อมูลงาน),Job Information,Supervisor ID,Job information,FOUND,Supervisor ID
Job Information (ข้อมูลงาน),Job Information,Special Benefit Group,Job information,FOUND,Special Benefit Group
Job Information (ข้อมูลงาน),Job Information,Employee Group,Job information,FOUND,Employee Group
Job Information (ข้อมูลงาน),Job Information,Employee Subgroup,Job information,FOUND,Employee Subgroup
Job Information (ข้อมูลงาน),Job Information,Personnel Grade,Job information,FOUND,Personnel Grade
Job Information (ข้อมูลงาน),Job Information,Contract Type,Job information,FOUND,Contract Type
Job Information (ข้อมูลงาน),Job Information,Contract End Date,Job information,FOUND,Contract End Date
Job Information (ข้อมูลงาน),DVT,DVT: Project name,Job information,FOUND,DVT: Project name
Job Information (ข้อมูลงาน),DVT,DVT: Partner University,Job information,FOUND,DVT: Partner University
Advanced Information,,Group of people,Advanced Information,FOUND,Group of people
Advanced Information,,Description,Advanced Information,FOUND,Description
Advanced Information,,Additional Information - Name,Advanced Information,FOUND,Additional Information - Name
Advanced Information,,Additional Information - URL,Advanced Information,PARTIAL,"""Additional Information - Name"" is a hyperlink; the URL is its href"
COI Approval,,Approval ID (YYYY-COI-000),COI Approval,FOUND,Approval ID (YYYY-COI-000)
COI Approval,,Company Name,COI Approval,FOUND,Company Name
COI Approval,,Business Type,COI Approval,FOUND,Business Type
COI Approval,,Business Nature,COI Approval,FOUND,Business Nature
COI Approval,,Position Name,COI Approval,FOUND,Position Name
COI Approval,,Term,COI Approval,FOUND,Term
COI Approval,,Start Date,COI Approval,FOUND,Start Date
COI Approval,,Compensation Rate,COI Approval,FOUND,Compensation Rate
COI Approval,,End Date,COI Approval,FOUND,End Date
COI Approval,,Approved Date,COI Approval,FOUND,Approved Date
COI Approval,,Attachment,COI Approval,FOUND,Attachment
COI Approval,,Attachment2,COI Approval,FOUND,Attachment2
COI Approval,,End Date,COI Approval,FOUND,End Date
Job Information (ข้อมูลงาน),DVT,DVT: Type,Job information,FOUND,DVT: Type
Job Information (ข้อมูลงาน),DVT,DVT: Degree Level,Job information,FOUND,DVT: Degree Level
Job Information (ข้อมูลงาน),DVT,DVT: Course,Job information,FOUND,DVT: Course
Job Information (ข้อมูลงาน),DVT,DVT: Course of Time,Job information,FOUND,DVT: Course of Time
Job Information (ข้อมูลงาน),DVT,DVT: Academic Year,Job information,FOUND,DVT: Academic Year
Job Information (ข้อมูลงาน),DVT,DVT: Graduation Date,Job information,FOUND,DVT: Graduation Date
Job Information (ข้อมูลงาน),DVT,DVT: Bonding End date,Job information,FOUND,DVT: Bonding End date
Job Information (ข้อมูลงาน),DVT,Scholarship,Job information,FOUND,Scholarship
Job Information (ข้อมูลงาน),Job Information,Probationary Period End Date,Job information,FOUND,Probationary Period End Date
Job Information (ข้อมูลงาน),Job Information,Extended Retirement Date,Job information,FOUND,Extended Retirement Date
Job Information (ข้อมูลงาน),Job Information,Extended Probation Date,Job information,FOUND,Extended Probation Date
Job Information (ข้อมูลงาน),Job Information,Band Matching,Job information,FOUND,Band Matching
Job Information (ข้อมูลงาน),Job Information,Transfer from,Job information,FOUND,Transfer from
Job Information (ข้อมูลงาน),Job Information,Country,Job information,FOUND,Country
Job Information (ข้อมูลงาน),Job Information,Job Code,Job information,FOUND,Job Code
Job Information (ข้อมูลงาน),Job Information,Job Role,Job information,FOUND,Job Role
Job Information (ข้อมูลงาน),Job Information,Job Family,Job information,FOUND,Job Family
Job Information (ข้อมูลงาน),Job Information,Job Type,Job information,FOUND,Job Type
Job Information (ข้อมูลงาน),Job Information,Job Grade,Job information,FOUND,Job Grade
Job Information (ข้อมูลงาน),Job Information,Function,Job information,FOUND,Function
Job Information (ข้อมูลงาน),,Attachment,Job information,FOUND,Attachment
Job Information (ข้อมูลงาน),Job Information,Transfer out to,Job information,FOUND,Transfer out to
Job Information (ข้อมูลงาน),Job Information,Transfer in to,Job information,FOUND,Transfer in to
Job Information (ข้อมูลงาน),Job Relationships,Relationship Type,Job information,FOUND,Relationship Type
Job Information (ข้อมูลงาน),Job Relationships,Name,Job information,FOUND,Name
Personal Information (ข้อมูลส่วนตัว),,Nickname (EN/TH),Personal information,FOUND,Nickname (EN/TH)
Personal Information (ข้อมูลส่วนตัว),,Gender,Personal information,FOUND,Gender
Personal Information (ข้อมูลส่วนตัว),,Military Status,Personal information,FOUND,Military Status
Personal Information (ข้อมูลส่วนตัว),,Salutation (Local),Personal information,FOUND,Salutation (Local)
Personal Information (ข้อมูลส่วนตัว),,Other Title (TH),Personal information,FOUND,Other Title (TH)
Personal Information (ข้อมูลส่วนตัว),,Firstname (Local),Personal information,FOUND,Firstname (Local)
Personal Information (ข้อมูลส่วนตัว),,Lastname (Local),Personal information,FOUND,Lastname (Local)
Personal Information (ข้อมูลส่วนตัว),,Middle Name (Local),Personal information,FOUND,Middle Name (Local)
Personal Information (ข้อมูลส่วนตัว),,Nationality,Personal information,FOUND,Nationality
Personal Information (ข้อมูลส่วนตัว),,Foreigner,Personal information,FOUND,Foreigner
Personal Information (ข้อมูลส่วนตัว),,Blood Type,Personal information,FOUND,Blood Type
Personal Information (ข้อมูลส่วนตัว),,Marital Status,Personal information,FOUND,Marital Status
Personal Information (ข้อมูลส่วนตัว),,Marital Status Since,Personal information,FOUND,Marital Status Since
