BA section,BA UI field,Status on dev-int,Evidence
Special Assignments/Projects,Assignment/Project,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Special Assignments/Projects,Description,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Special Assignments/Projects,Comments,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Special Assignments/Projects,Start Date,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Special Assignments/Projects,End Date,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Certificate,Completion date,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Certificate,Institute ID,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Certificate,Description,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Certificate,Comments,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Certificate,Certificate Number,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Certificate,Course,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Certificate,Course,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Document,Registration Date,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Document,Inactive Date,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Document,Labour Department Area,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Document,Document Number,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Document,Safety Officer Level,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Document,Direct Link - Name,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Document,Direct Link - URL,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
OHS Document,Attachment,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Employee Benefit Obligation(EBO),Description,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Employee Benefit Obligation(EBO),EBO Amount,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Employee Benefit Obligation(EBO),หมายเหตุ,MISSING,"screenshot 2/3 (dev-int, EMP-0002)"
Honours/Awards,Honour or Award,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Honours/Awards,Description,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Honours/Awards,Institution,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Honours/Awards,Issue Date,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Honours/Awards,Additional Information,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Honours/Awards,Attachment,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Legal Execution Department,Legal Execution Department,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Legal Execution Department,Execution Case No.,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Legal Execution Department,Start Date,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Legal Execution Department,End Date,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Legal Execution Department,Other information,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Legal Execution Department,Attachment,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Product Liability Insurance,Effective Date,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Product Liability Insurance,Insurance Company,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Product Liability Insurance,Bank,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Product Liability Insurance,value,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Product Liability Insurance,status,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Product Liability Insurance,Remark,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Student Loan,Year of Contract,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Student Loan,Levels of Education,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Student Loan,Academic Year,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Student Loan,Year of final payment,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Student Loan,Attachment,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
Student Loan,Remark,FOUND,"screenshot 2/3 (dev-int, EMP-0002)"
